Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Fuori scopo,84,Tue Dec 19 17:20:50 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,85,Tue Dec 19 17:20:52 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,86,Tue Dec 19 17:20:52 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,87,Tue Dec 19 17:20:55 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,88,Tue Dec 19 17:20:55 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,89,Tue Dec 19 17:20:56 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,90,Tue Dec 19 17:20:57 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,91,Tue Dec 19 17:21:00 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,92,Tue Dec 19 17:21:00 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,93,Tue Dec 19 17:21:01 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,94,Tue Dec 19 17:21:01 CET 2023,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=120.0&pver=2.2,403,Forbidden,0,130,63,,false,
Fuori scopo,95,Tue Dec 19 17:21:04 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
Fuori scopo,96,Tue Dec 19 17:21:04 CET 2023,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,63,,false,
